# g_value	energy	                error	                exact_energy
0.0         -0.9999999999750825     2.4917512497779626e-11  -1.0
0.25        -1.0156870118440362     1.0087153334836785e-9   -1.0156870128527515
0.5         -1.0650417283888753     0.001497318415507154    -1.0635444099733682   
0.75        -1.1497702922877653     0.0032905379170016236   -1.1464797543707637
1.0         -1.2553757944705564     0.017863750264606182    -1.2732395447351625
1.25        -1.4033037279655174     0.056458157685297605    -1.459761885650815
1.5         -1.6288857071468366     0.043040514389358187    -1.6719262215361947
1.75        -1.8959687944364418     7.813234620002163e-5    -1.8960469267826419
2.0         -2.12705143485028       3.73850964563438e-5     -2.1270888199467364

   
 
