g,energy_list
0.0, -0.9999999997563389
0.25, -1.0156249970365168
0.5, -1.0624999968244235
0.75, -1.1406249987413477
1.0, -1.2499999965650135
1.25, -1.3906249993676547
1.5, -1.5624999981344312
1.75, -1.7656249994209183
2.0, -1.9999999510714537

g,energy_list
0.0, -0.9999999991992583
0.25, -1.0156268712491878
0.5, -1.0624538461763937
0.75, -1.1407879533141116
1.0, -1.2543680873132481
1.25, -1.3910471626247445
1.5, -1.5787566107430402
1.75, -1.818739684731014
2.0, -2.0981094737626123

g,energy_list
0.0, -0.9999999999999999
0.25, -1.0156879377212527
0.5, -1.063531806128337
0.75, -1.1465848784797186
1.0,  -1.2725840951600263
1.25, -1.457071026676012
1.5, -1.6720898810656172
1.75, -1.8969280500308125
2.0, -2.1270280883760127
